GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chatonline,com.yuanlrc.base.config,WebSocketConfig,7,0,0,0,2,0,2,0,2,0
chatonline,com.yuanlrc.base.config,AppConfig,37,0,8,0,12,0,7,0,3,0
chatonline,com.yuanlrc.base.config,SiteConfig,17,0,0,0,7,0,5,0,5,0
chatonline,com.yuanlrc.base.config.admin,AdminWebConfig,32,0,0,0,4,0,2,0,2,0
chatonline,com.yuanlrc.base.controller.admin,UserController,222,0,24,0,42,0,19,0,7,0
chatonline,com.yuanlrc.base.controller.admin,DatabaseBakController,122,0,8,0,21,0,9,0,5,0
chatonline,com.yuanlrc.base.controller.admin,MsgController,90,0,10,0,22,0,8,0,3,0
chatonline,com.yuanlrc.base.controller.admin,AccountController,56,0,2,0,11,0,4,0,3,0
chatonline,com.yuanlrc.base.controller.admin,RoleController,261,0,10,0,49,0,12,0,7,0
chatonline,com.yuanlrc.base.controller.admin,GroupController,124,0,8,0,26,0,10,0,6,0
chatonline,com.yuanlrc.base.controller.admin,SystemController,390,0,42,0,90,0,35,0,14,0
chatonline,com.yuanlrc.base.controller.admin,MenuController,259,0,24,0,60,0,19,0,7,0
chatonline,com.yuanlrc.base.service.admin,MenuService,23,0,0,0,6,0,5,0,5,0
chatonline,com.yuanlrc.base.service.admin,OrderAuthService,34,0,4,0,5,0,5,0,3,0
chatonline,com.yuanlrc.base.service.admin,RoleService,69,0,0,0,15,0,6,0,6,0
chatonline,com.yuanlrc.base.service.admin,UserService,96,0,4,0,21,0,10,0,8,0
chatonline,com.yuanlrc.base.service.admin,OperaterLogService,100,0,2,0,26,0,12,0,11,0
chatonline,com.yuanlrc.base.service.admin,DatabaseBakService,300,0,6,0,47,0,11,0,8,0
chatonline,com.yuanlrc.base.entity.home,FriendRequest,61,0,0,0,15,0,10,0,10,0
chatonline,com.yuanlrc.base.entity.common,MsgLog,49,0,0,0,12,0,8,0,8,0
chatonline,com.yuanlrc.base.entity.common,MsgContent,106,0,0,0,26,0,18,0,18,0
chatonline,com.yuanlrc.base.entity.common,BaseEntity,24,0,0,0,10,0,7,0,7,0
chatonline,com.yuanlrc.base.entity.common,AccountGroup,115,0,0,0,29,0,18,0,18,0
chatonline,com.yuanlrc.base.entity.common,Account,127,0,0,0,32,0,20,0,20,0
chatonline,com.yuanlrc.base.entity.common,Friend,76,0,0,0,19,0,12,0,12,0
chatonline,com.yuanlrc.base.entity.common,AccountGroupMember,61,0,0,0,15,0,10,0,10,0
chatonline,com.yuanlrc.base.entity.admin,Menu,104,0,0,0,27,0,16,0,16,0
chatonline,com.yuanlrc.base.entity.admin,OperaterLog,17,0,0,0,7,0,5,0,5,0
chatonline,com.yuanlrc.base.entity.admin,User,112,0,0,0,28,0,18,0,18,0
chatonline,com.yuanlrc.base.entity.admin,OrderAuth,46,0,0,0,11,0,8,0,8,0
chatonline,com.yuanlrc.base.entity.admin,Role,61,0,0,0,15,0,10,0,10,0
chatonline,com.yuanlrc.base.entity.admin,DatabaseBak,34,0,0,0,8,0,6,0,6,0
chatonline,com.yuanlrc.base.server.home,WebSocket,766,0,68,0,187,0,64,0,30,0
chatonline,com.yuanlrc.base.controller.common,PhotoController,25,0,0,0,5,0,2,0,2,0
chatonline,com.yuanlrc.base.controller.common,UploadController,284,0,14,0,46,0,10,0,3,0
chatonline,com.yuanlrc.base.controller.common,DownloadController,127,0,4,0,27,0,5,0,3,0
chatonline,com.yuanlrc.base.controller.common,CpachaController,56,0,0,0,11,0,2,0,2,0
chatonline,com.yuanlrc.base,test,15,0,0,0,6,0,3,0,3,0
chatonline,com.yuanlrc.base,App,8,0,0,0,3,0,2,0,2,0
chatonline,com.yuanlrc.base.controller.home,HomeAccountController,1029,0,92,0,221,0,66,0,20,0
chatonline,com.yuanlrc.base.controller.home,HomeIndexController,186,0,16,0,37,0,14,0,6,0
chatonline,com.yuanlrc.base.util,CpachaUtil,1692,0,14,0,98,0,28,0,21,0
chatonline,com.yuanlrc.base.util,HttpUtil,223,0,16,0,61,0,11,0,3,0
chatonline,com.yuanlrc.base.util,StringUtil,271,0,18,0,65,0,18,0,9,0
chatonline,com.yuanlrc.base.util,ValidateEntityUtil,159,0,34,0,44,0,20,0,3,0
chatonline,com.yuanlrc.base.util,MenuUtil,167,0,38,0,39,0,26,0,7,0
chatonline,com.yuanlrc.base.util,DESUtil,119,0,12,0,30,0,11,0,5,0
chatonline,com.yuanlrc.base.util,SessionUtil,58,0,12,0,20,0,12,0,6,0
chatonline,com.yuanlrc.base.constant,RuntimeConstant,288,0,0,0,5,0,2,0,2,0
chatonline,com.yuanlrc.base.constant,SessionConstant,3,0,0,0,1,0,1,0,1,0
chatonline,com.yuanlrc.base.interceptor.admin,AdminAuthorityInterceptor,92,0,4,0,23,0,4,0,2,0
chatonline,com.yuanlrc.base.interceptor.admin,AdminLoginInterceptor,118,0,6,0,31,0,5,0,2,0
chatonline,com.yuanlrc.base.bean,Result,61,0,4,0,22,0,12,0,10,0
chatonline,com.yuanlrc.base.bean,WebSocketMsg,106,0,0,0,26,0,18,0,18,0
chatonline,com.yuanlrc.base.bean,CodeMsg,312,0,0,0,58,0,6,0,6,0
chatonline,com.yuanlrc.base.bean,PageBean,123,0,10,0,38,0,20,0,15,0
chatonline,com.yuanlrc.base.bean,MsgVo,24,0,0,0,10,0,7,0,7,0
chatonline,com.yuanlrc.base.config.home,HomeWebConfig,32,0,0,0,4,0,2,0,2,0
chatonline,com.yuanlrc.base.interceptor.home,HomeGlobalInterceptor,5,0,0,0,2,0,2,0,2,0
chatonline,com.yuanlrc.base.interceptor.home,HomeLoginInterceptor,74,0,4,0,22,0,4,0,2,0
chatonline,com.yuanlrc.base.service.common,AccountService,100,0,4,0,21,0,10,0,8,0
chatonline,com.yuanlrc.base.service.common,AccountGroupService,82,0,0,0,16,0,7,0,7,0
chatonline,com.yuanlrc.base.service.common,FriendService,24,0,0,0,6,0,5,0,5,0
chatonline,com.yuanlrc.base.service.common,MsgLogService,29,0,0,0,6,0,6,0,6,0
chatonline,com.yuanlrc.base.service.common,MsgContentService,72,0,0,0,13,0,5,0,5,0
chatonline,com.yuanlrc.base.service.common,AccountGroupMemberService,41,0,0,0,10,0,8,0,8,0
chatonline,com.yuanlrc.base.service.home,FriendRequestService,36,0,0,0,8,0,7,0,7,0
chatonline,com.yuanlrc.base.listener,SessionListener,42,0,0,0,7,0,4,0,4,0
chatonline,com.yuanlrc.base.schedule.admin,BackUpSchedule,15,0,0,0,5,0,2,0,2,0
